"","time","EL","EL_LAR","EL_BIO","EL_LAR_BIO","LL","LL_LAR","LL_BIO","LL_LAR_BIO","PL","SV","EV","IV","SH","IH","Mm","EIR","VC","R0"
"176",175,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"177",176,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"178",177,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"179",178,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"180",179,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"181",180,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"182",181,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"183",182,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"184",183,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"185",184,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"186",185,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"187",186,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"188",187,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"189",188,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"190",189,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"191",190,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"192",191,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"193",192,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"194",193,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"195",194,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"196",195,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"197",196,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"198",197,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"199",198,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"200",199,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"201",200,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"202",201,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"203",202,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"204",203,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"205",204,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"206",205,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"207",206,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"208",207,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"209",208,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"210",209,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"211",210,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"212",211,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
