"","time","EL","LL","PL","SV","EV","IV"
"94",93,1044.08887874683,551.073475067281,83.1033905239249,53.81678275032,0.240490913864162,1.47304320843567e-06
"95",94,1012.57429325408,534.886171346298,80.6575783597374,52.2282593798595,0.233370855253916,1.42756354186412e-06
"96",95,982.138089885026,519.226916883939,78.2918198517399,50.6919946999438,0.226486259276098,1.38369837107928e-06
"97",96,952.735439245481,504.075286391112,76.0030027883241,49.2059407300904,0.219827830312463,1.34137665096001e-06
"98",97,924.324390900315,489.412066353515,73.7882008141429,47.7681772826036,0.213386829332057,1.30053349674581e-06
"99",98,896.86520202844,475.218973068986,71.6446311191443,46.3768720422516,0.207154971271659,1.26110705240078e-06
"100",99,870.319864768524,461.478455896925,69.5696199842204,45.0302702902204,0.201124291944839,1.22303720192378e-06
"101",100,844.652345683667,448.17379739217,67.5606257720711,43.7267016780626,0.195287222181791,1.18626849176787e-06
"102",101,819.828113896827,435.288913153582,65.6151998163837,42.4645610812655,0.189636485639732,1.15074734639517e-06
"103",102,795.815058217655,422.808789254856,63.7310583320103,41.2423493509997,0.184165298169209,1.11642403552365e-06
"104",103,772.581659012135,410.718636471536,61.9059522178694,40.058591042168,0.178866981589061,1.08324950452103e-06
"105",104,750.098324597163,399.00451056385,60.1377618917472,38.9118983150772,0.173735244298827,1.05117859551058e-06
"106",105,728.336879701597,387.653087392869,58.4244626712542,37.8009427018277,0.168764089607888,1.02016807345353e-06
"107",106,707.270180489804,376.651489255379,56.7640967207192,36.72444234088,0.163947718721894,9.90176169158709e-07
"108",107,686.872453028799,365.987441060549,55.1548004536626,35.6811767408959,0.159280613089544,9.61163777868741e-07
"109",108,667.11916055868,355.64921776531,53.5947925839894,34.6699800094093,0.154757506492606,9.33093494210566e-07
"110",109,647.986906724962,345.625609335072,52.0823699987751,33.6897377423058,0.150373364939438,9.05929328754221e-07
"111",110,629.453119517723,335.905762206275,50.6158858134321,32.739372138155,0.146123321446295,8.79637266844582e-07
"112",111,611.49617277851,326.479244584277,49.1937565843033,31.8178479073679,0.142002702803118,8.5418454968419e-07
"113",112,594.095750340186,317.336227599568,47.814490475662,30.92418990229,0.138007109126672,8.29540513167678e-07
"114",113,577.232051205639,308.467107238955,46.476630011432,30.0574454628744,0.134132242930026,8.05675093755095e-07
"115",114,560.886140329874,299.86266878918,45.1787781668593,29.2167015262224,0.130373986457538,7.82560075922872e-07
"116",115,545.040093637334,291.514166535614,43.9196079419292,28.4010917213552,0.126728434002502,7.60168358743612e-07
"117",116,529.676546109528,283.41310562737,42.6978313585068,27.6097747704045,0.123191794153553,7.38473920920312e-07
"118",117,514.778803048035,275.551298855964,41.5122072534247,26.8419404698991,0.119760416085957,7.17451804479883e-07
"119",118,500.331001202513,267.92094234147,40.3615526507816,26.0968168495192,0.116430822885957,6.97078265009779e-07
"120",119,486.317843982264,260.514495212987,39.2447246813718,25.3736581818989,0.113199656446379,6.77330631328033e-07
"121",120,472.724682158708,253.324717363999,38.1606262361109,24.6717488176644,0.110063694890428,6.5818705599702e-07
"122",121,459.537370617529,246.344602851391,37.1081959331996,23.9903965818303,0.107019822754888,6.39626499875287e-07
"123",122,446.742408643227,239.5674469082,36.0864181368322,23.3289393413657,0.1040650607651,6.21628963216565e-07
"124",123,434.326786528864,232.986775530561,35.094312308927,22.6867379523702,0.101196533697838,6.04175287358644e-07
"125",124,422.278003928368,226.596354358987,34.1309343695235,22.0631771876028,0.0984114745557715,5.87246906608973e-07
"126",125,410.584038076908,220.390174467089,33.1953745163951,21.4576642962161,0.0957072180576657,5.70826112240001e-07
"127",126,399.233324658067,214.362443983234,32.2867559417373,20.8696281539028,0.0930811967652634,5.54895907780453e-07
"128",127,388.214736674034,208.507578725861,31.4042334010404,20.2985183165372,0.0905309367673255,5.39439879137024e-07
"129",128,377.517564701738,202.820193424477,30.5469918725081,19.7438041349107,0.0880540536424761,5.24442306074119e-07
"130",129,367.131499509458,197.295094009901,29.7142453789893,19.2049739768631,0.0856482489128715,5.09888079585579e-07
"131",130,357.046614307398,191.927269711034,28.9052357788308,18.6815344281929,0.0833113064027883,4.95762680472263e-07
"132",131,347.253337354359,186.711880255535,28.1192308329581,18.1730090273205,0.08104108650134,4.82052101552581e-07
"133",132,337.742461618243,181.644261164924,27.3555249738183,17.6789387604432,0.0788355283865693,4.68742898331164e-07
"134",133,328.505094052738,176.719899610371,26.6134356696625,17.1988796752663,0.0766926392094711,4.55822116473535e-07
"135",134,319.532672022323,171.934442568755,25.8923046490441,16.7324036943032,0.074610497773078,4.43277307109079e-07
"136",135,310.81694862962,167.283690757978,25.1914969221322,16.2790979405694,0.0725872514596199,4.31096462194468e-07
"137",136,302.349933472309,162.763569455224,24.5103964550288,15.8385619276448,0.0706211034948107,4.1926799572538e-07
"138",137,294.123955935117,158.370159926996,23.8484108455874,15.4104106220585,0.0687103268200183,4.07780790890371e-07
"139",138,286.131598667979,154.099667541944,23.2049665059706,14.9942712615662,0.0668532496822516,3.96624100505881e-07
"140",139,278.365705149422,149.948425555764,22.5795092470622,14.5897837521635,0.065048257395847,3.8578757212863e-07
"141",140,270.819367585266,145.912889527148,21.9715034184902,14.1966001012428,0.0632937897948382,3.75261223753562e-07
"142",141,263.485907118243,141.989627757018,21.3804304655748,13.8143834744378,0.0615883369711204,3.65035415135857e-07
"143",142,256.358871577337,138.175320306998,20.8057887797122,13.4428081006729,0.0599304388493184,3.55100857072632e-07
"144",143,249.432040232047,134.466761845983,20.2470941004179,13.0815595209739,0.0583186862917172,3.45448587439753e-07
"145",144,242.699398351917,130.860849233786,19.7038776551997,12.7303333726793,0.0567517155824818,3.36069948759235e-07
"146",145,236.15511917562,127.354572628755,19.175684815631,12.3888345190291,0.0552282045210486,3.26956580748391e-07
"147",146,229.793585256534,123.945026364294,18.6620767247834,12.0567781070823,0.0537468771855964,3.18100414293006e-07
"148",147,223.60936120724,120.629395637647,18.1626282841922,11.7338882467008,0.0523064979648702,3.09493654961753e-07
"149",148,217.597191404274,117.404955517164,17.6769280041536,11.4198979140293,0.0509058711100798,3.0112877593601e-07
"150",149,211.75199204331,114.269067104989,17.2045774221167,11.1145485725057,0.0495438390288252,2.92998502906481e-07
"151",150,206.068844801119,111.219174521063,16.7451906427524,10.8175898711632,0.0482192809242525,2.85095806926283e-07
"152",151,200.542990516018,108.252801866401,16.298393877259,10.5287793431852,0.0469311114329843,2.77413891122788e-07
"153",152,195.169825323358,105.367551432665,15.8638251691389,10.247882225179,0.0456782798056667,2.69946180907074e-07
"154",153,189.944892424088,102.561099693114,15.4411337871959,9.97467106019151,0.0444597681140641,2.62686322479282e-07
"155",154,184.863877747649,99.8311952294943,15.0299799104704,9.70892549188658,0.0432745903212619,2.5562817467208e-07
"156",155,179.922603815628,97.1756557446256,14.6300341751985,9.45043196844862,0.0421217909465619,2.4876578716703e-07
"157",156,175.117027051999,94.5923668142856,14.2409774839026,9.19898361711356,0.0410004444969997,2.42093407831565e-07
"158",157,170.443230477049,92.0792782958387,13.8625004614564,8.95437988869242,0.0399096538646081,2.35605471872232e-07
"159",158,165.897420451293,89.6344027629446,13.4943032173847,8.71642640241782,0.0388485496258195,2.29296593032371e-07
"160",159,161.475921862764,87.2558131547995,13.1360949893085,8.4849347129008,0.0378162889909447,2.23161557265275e-07
"161",160,157.175174728213,84.9416411331559,12.7875938931779,8.25972214676182,0.0368120550668749,2.17195317195033e-07
"162",161,152.991728357023,82.6900741886942,12.4485264852758,8.0406115168423,0.0358350555701794,2.11392983298566e-07
"163",162,148.92223953049,80.4993547861641,12.1186276318638,7.82743103690162,0.0348845224411342,2.05749822091634e-07
"164",163,144.963465908026,78.3677770460629,11.7976400084778,7.62001399587411,0.0339597103798996,2.00261248532472e-07
"165",164,141.112266767178,76.2936872242479,11.4853141676707,7.41819880018371,0.0330598970331186,1.94922821672077e-07
"166",165,137.365596980434,74.2754806806917,11.1814080832093,7.22182867678232,0.0321843816558354,1.89730238617821e-07
"167",166,133.720503475542,72.311600122901,10.8856868832498,7.03075149960889,0.031332484331852,1.8467932940892e-07
"168",167,130.174122781786,70.4005343977219,10.5979226673072,6.84481967019285,0.0305035454362422,1.79766053618428e-07
"169",168,126.723677827329,68.5408169009119,10.3178942649913,6.66388996023147,0.0296969249273172,1.74986494974215e-07
"170",169,123.366475131252,66.7310241799464,10.0453870244792,6.48782337363525,0.0289120017255223,1.70336857352434e-07
"171",170,120.099901853547,64.9697744641126,9.78019258986925,6.31648500137492,0.0281481730604682,1.65813460658611e-07
"172",171,116.921423468826,63.2557265036639,9.52210872531684,6.14974390686116,0.027404853955252,1.61412737053648e-07
"173",172,113.828580836004,61.5875781056067,9.27093909330084,5.98747298143598,0.0266814765764757,1.57131226561758e-07
"174",173,110.818987583445,59.9640648221152,9.0264930562567,5.82954881519576,0.0259774896535443,1.5296557296303e-07
"175",174,107.890327975246,58.3839588768928,8.78858551406957,5.67585159126286,0.0252923580037611,1.48912521314859e-07
"176",175,105.040354727328,56.8460680678219,8.55703673771609,5.52626497741396,0.0246255620454966,1.44968915184099e-07
"177",176,102.266886689334,55.349234602673,8.33167219294904,5.3806760111012,0.0239765972812089,1.41131692634762e-07
"178",177,99.5678066045639,53.8923339704258,8.11232236970719,5.23897498835723,0.0233449737977971,1.37397882460659e-07
"179",178,96.9410590632318,52.4742739055819,7.89882262556325,5.10105536207348,0.0227302158097453,1.33764601471943e-07
"180",179,94.3846485815096,51.0939934144741,7.69101303829966,4.96681364618286,0.0221318612294658,1.30229052083451e-07
"181",180,91.8966377148182,49.7504618194756,7.4887382611748,4.83614932138645,0.0215494612443062,1.26788519441957e-07
"182",181,89.4751451980061,48.4426778164264,7.29184738038945,4.7089647422961,0.0209825798992052,1.23440368519769e-07
"183",182,87.1183441529835,47.1696685640615,7.10019377747927,4.58516504797262,0.0204307936946552,1.20182041536163e-07
"184",183,84.8244603816059,45.9304888144312,6.91363499781413,4.46465807652902,0.0198936912036944,1.17011055513896e-07
"185",184,82.5917707276105,44.7242200773744,6.73203262418955,4.34735428294355,0.0193708727036328,1.13924999872022e-07
"186",185,80.4186014889098,43.5499698102885,6.55525215430823,4.23316665932169,0.0188619498182929,1.10921534156647e-07
"187",186,78.303326878097,42.4068706317113,6.38316288193122,4.12201065761626,0.0183665451709299,1.07998385880477e-07
"188",187,76.2443675373577,41.2940795613252,6.21563778201504,4.01380411503413,0.0178842920495658,1.0515334835262e-07
"189",188,74.2401891090413,40.2107772871426,6.05255339992886,3.90846718208382,0.0174148340846369,1.0238427852985e-07
"190",189,72.2893008568655,39.1561674578209,5.89378974448389,3.80592225304452,0.0169578249374284,9.96890950090507e-08
"191",190,70.3902543328008,38.1294759978277,5.73923018444938,3.70609389870806,0.0165129279983783,9.70657761605391e-08
"192",191,68.5416420880821,37.1299504444786,5.58876134838981,3.6089088013334,0.0160798160953279,9.45123583006946e-08
"193",192,66.7420964282651,36.156859306725,5.44227302777983,3.51429569175124,0.0156581712117236,9.20269338691642e-08
"194",193,64.9902882111346,35.2094914451971,5.29965808333414,3.42218528853561,0.015247684214206,8.96076496692412e-08
"195",194,63.2849256851534,34.2871554725064,5.16081235441583,3.33251023916707,0.0148480545889757,8.72527052088955e-08
"196",195,61.6247533663649,33.3891791728111,5.02563457136599,3.24520506311637,0.0144589901866866,8.49603511103515e-08
"197",196,60.0085509524169,32.5149089399304,4.89402627063779,3.16020609676943,0.0140802069757246,8.27288875514217e-08
"198",197,58.4351322726239,31.6637092334629,4.7658917126531,3.07745144011835,0.0137114288035352,8.0556662746236e-08
"199",198,56.9033442727524,30.8349620523138,4.64113780229737,2.99688090516003,0.0133523871655791,7.84420714878157e-08
"200",199,55.412066033078,30.0280664249694,4.51967401195123,2.91843596594958,0.0130028209816362,7.63835537507069e-08
"201",200,53.9602078183921,29.2424379158648,4.40141230695734,2.84205971024734,0.0126624763792829,7.43795933366825e-08
"202",201,52.5467101588278,28.4775081472727,4.28626707343493,2.76769679269416,0.0123311064843022,7.24287165579419e-08
"203",202,51.1705429604201,27.7327243361872,4.17415504836392,2.69529338945917,0.0120084712177161,7.05294909643834e-08
"204",203,49.8307046443062,27.0075488456898,4.06499525186072,2.62479715431301,0.0116943370991769,6.86805241174584e-08
"205",204,48.52622131349,26.3014587502794,3.95870892156685,2.55615717607882,0.0113884770565291,6.68804624049559e-08
"206",205,47.2561459461684,25.6139454146716,3.85521944907439,2.48932393740965,0.0110906702413543,6.51279898918763e-08
"207",206,46.019557614675,24.944514085597,3.75445231831809,2.42424927484374,0.0108007018502687,6.34218272077181e-08
"208",207,44.8155607291298,24.2926834961591,3.65633504586691,2.36088634009402,0.0105183629517479,6.17607304711399e-08
"209",208,43.6432843049083,23.6579854823217,3.56079712304996,2.29918956253138,0.0102434503182932,6.01434902500531e-08
"210",209,42.501881253084,23.0399646111104,3.46776995985359,2.23911461282038,0.00997576626377561,5.85689305543678e-08
"211",210,41.390527693036,22.4381778201311,3.37718683052936,2.18061836766678,0.00971511848577908,5.70359078602935e-08
"212",211,40.3084222864464,21.8521940680105,3.28898282085432,2.1236588756389,0.00946131991275912,5.55433101659783e-08
"213",212,39.2547855919408,21.281593995409,3.20309477698818,2.06819532402683,0.00921418855584933,5.4090056077462e-08
"214",213,38.2288594396572,20.7259695962497,3.11946125587462,2.01418800670505,0.0089735473651665,5.2675093923308e-08
"215",214,37.2299063250544,20.184923898816,3.03802247713496,1.96159829296484,0.00873922409046768,5.12974008967447e-08
"216",215,36.2572088213001,19.6580706563902,2.95872027640385,1.91038859728349,0.00851105114600971,4.99559822246693e-08
"217",216,35.3100690096063,19.1450340471214,2.88149806005898,1.86052234999934,0.00828886547946673,4.86498703627201e-08
"218",217,34.3878079268997,18.6454483828222,2.80630076129973,1.81196396886248,0.0080725084447717,4.73781242153309e-08
"219",218,33.4897650302427,18.1589578264008,2.73307479753091,1.76467883143293,0.00786182567875542,4.61398283797706e-08
"220",219,32.6152976774403,17.6852161176462,2.6617680290085,1.71863324829843,0.00765666698145913,4.49340924134338e-08
"221",220,31.763780623293,17.2238863070947,2.59232971870606,1.67379443708487,0.00745688619999858,4.3760050123682e-08
"222",221,30.9346055309745,16.7746404977196,2.52471049336248,1.63013049723352,0.00726234111586301,4.26168588794236e-08
"223",222,30.1271804980311,16.3371595941921,2.45886230567357,1.58761038552047,0.00707289333553778,4.15036989436214e-08
"224",223,29.3409295965222,15.9111330594713,2.3947383975904,1.54620389229447,0.00688840818434458,4.04197728260317e-08
"225",224,28.5752924268351,15.4962586784892,2.33229326468914,1.50588161841018,0.0067087546033959,3.9364304655543e-08
"226",225,27.8297236847311,15.092242328706,2.27148262157824,1.46661495283445,0.00653380504956341,3.83365395714644e-08
"227",226,27.1036927411882,14.6987977573189,2.21226336831008,1.42837605090432,0.00636343539836358,3.73357431330969e-08
"228",227,26.3966832346282,14.3156463649147,2.15459355776577,1.39113781321606,0.00619752484966839,3.63612007469696e-08
"229",228,25.7081926751277,13.9425169953653,2.09843236398215,1.35487386512562,0.00603595583615212,3.54122171111755e-08
"230",229,25.0377320602288,13.5791457317692,2.04374005139164,1.31955853684107,0.00587861393438818,3.44881156762594e-08
"231",230,24.3848255019774,13.2252756982537,1.99047794494655,1.28516684408849,0.00572538777851237,3.35882381221074e-08
"232",231,23.7490098648334,12.8806568674521,1.93860840110025,1.25167446933365,0.00557616897637226,3.2711943850306e-08
"233",232,23.1298344141055,12.5450458734847,1.88809477961872,1.21905774354192,0.00543085202808556,3.18586094914692e-08
"234",233,22.5268604745805,12.2182058302741,1.83890141619706,1.18729362846012,0.0052893342469328,3.10276284270587e-08
"235",234,21.9396610990248,11.8999061550301,1.79099359585628,1.15635969940411,0.00515151568251226,3.02184103252341e-08
"236",235,21.3678207462491,11.5899223967437,1.74433752709621,1.12623412853649,0.0050172990460876,2.94303806902791e-08
"237",236,20.810934968439,11.2880360695426,1.69890031678144,1.09689566861958,0.00488658963806068,2.86629804251662e-08
"238",237,20.2686101074609,10.9940344907572,1.65464994573822,1.06832363722897,0.00475929527750448,2.79156654068463e-08
